"Wiese, Lena",2020,7
"Peitek, Norman",2020,14
"Harborth, David",2020,7
"Becker, Moritz",2020,4
"Weber, Anja",2020,9
"Gerstner, Thomas",2020,1
"Mayer, Ruben",2020,73
"Geiger, Ingmar",2020,7
"Hayashi, Akinobu",2020,2
"Burton, Simon",2020,29
"Kannengießer, Niclas",2020,44
"Amann, Sven",2019,41
"Foltýnek, Tomáš",2019,61
"Sondern, Dominik",2019,1
"Gurevich, Pavel",2020,4
"Arias-Cabarcos, Patricia",2019,12
"Fucci, Davide",2020,12
"Baumann, R.",2019,5
"Thimm, Matthias",2019,11
"Misselhorn, Catrin",2020,8
"Lüddecke, Timo",2019,8
"Posthaus, Achim",2019,1
"Lindauer, Marius",2019,13
"Coskun, Sema",2019,2
"Röger, Henriette",2019,45
"Laubert, Christoph",2019,7
"Herbold, Steffen",2019,6
"Sutterer, Paul",2019,0
"Kloker, Simon",2019,1
"Dizdarević, Jasenka",2019,232
"Maier, Erik",2019,9
"Abdulahhad, Karam",2019,3
"Biskup, Joachim",2019,0
"Koster, Frank",2019,0
"Fries, Christian P.",2019,1
"Brewka, Gerhard",2019,18
"Haake, Claus-Jochen",2018,2
"Lillack, Max",2018,18
"Kossaczký, Igor",2019,0
"Hakenes, Hendrik",2018,0
"Weiland, Lydia",2018,8
"Bick, Saskia",2018,65
"Wollenburg, Johannes",2018,73
"Niemeyer, Claudia",2018,4
"Baumeister, Dorothea",2018,34
"Hoefer, Martin",2018,12
"Kicherer, Hanna",2018,1
"Wylot, Marcin",2018,52
"Ketter, Wolfgang",2018,22
"Kuss, Elena",2018,13
"Heinze, Jörg",2018,21
"Herbold, Steffen",2018,123
"Ratzmann, Martin",2018,11
"Brewka, Gerhard",2018,19
"Gnad, Daniel",2018,17
"Teschner, Florian",2018,6
"Torralba, Álvaro",2018,5
"Brandt, Tobias",2018,5
"Koster, Frank",2018,2
"Naumann, Uwe",2018,5
"Hendricks, Christian",2018,1
"Eppe, Manfred",2018,49
"Grüschow, Robert Maximilian",2018,4
"Platenius, Marie C.",2017,6
"Laube, Stefan",2017,24
"Teschner, Florian",2017,2
"Benk, Janos",2017,0
"Rempel, Patrick",2017,53
"Kavun, Elif Bilge",2017,6
"Psychou, Georgia",2017,3
"Tariq, Zain Bin",2017,48
"Thimm, Matthias",2017,57
"Tangian, Andranik",2017,2
"Herbold, Steffen",2017,18
"Stein, Michael",2017,8
"Schoknecht, Andreas",2017,34
"Ramirez-Amaro, Karinne",2017,65
"Dylla, Frank",2017,50
"Mayerhofer, Antonia",2017,4
"Günther, Martin",2017,26
"Rheinländer, Astrid",2017,22
"Huber, Nikolaus",2017,34
"Wang, Zhikun",2017,18
"Tenorth, Moritz",2017,92
"Jukan, Admela",2017,75
"Agostini, Alejandro",2017,21
"Steinmetz, Marcel",2017,15
"Balyo, Tomáš",2016,34
"Habibi, Maryam",2016,5
"Hutter, Frank",2017,45
"Baumann, Ringo",2016,10
"Tangian, Andranik",2017,2
"Lindauer, Marius",2017,17
"Riehle, Dirk",2016,11
"Tangian, Andranik",2017,3
"Torralba, Álvaro",2017,30
"Capraro, Maximilian",2016,20
"Häckel, Björn",2017,6
"Melzer, Philipp",2016,10
"Biemann, Chris",2016,0
"Costa, Fabrizio",2017,3
"Stevens, Jon Scott",2016,5
"Kersting, Kristian",2017,10
"Dickmann, Fabian",2016,1
"Baluda, Mauro",2016,18
"Lansing, Jens",2016,33
"Bischl, Bernd",2016,103
"Ossadnik, Wolfgang",2016,104
"Thimm, Matthias",2016,35
"Bubeck, U.",2015,1
"Freitas, André",2015,2
"Maier, Christian",2015,15
"Bohme, Marcel",2016,40
"Schur, Matthias",2015,14
"Kroemer, Christian",2016,11
"Vilsmeier, Johannes",2016,1
"Filieri, Antonio",2016,81
"Gomez-Rodriguez, Manuel",2016,54
"Nadi, Sarah",2015,62
"Milenkoski, Aleksandar",2015,109
"Herzberg, Nico",2015,11
"Balint, Adrian",2015,26
"Galeotti, Juan P.",2015,20
"Jarke, Matthias",2015,0
"Wendzel, Steffen",2015,116
"Strass, Hannes",2015,27
"Goll, Christian",2015,8
"Vasilomanolakis, Emmanouil",2015,215
"Pousttchi, Key",2015,34
"Brosig, Fabian",2015,53
"Walter, Sebastian",2014,13
"Lang, Fabian",2015,29
"Baum, Daniela",2014,49
"Belli, Fevzi",2015,9
"Gensler, Sonja",2015,58
"Bernhart, German",2015,0
"Draxler, Sebastian",2014,4
"Borgwardt, Stefan",2015,41
"Mahnke, Rolf",2015,37
"Schoop, Mareike",2014,9
"Geiger, Ingmar",2014,14
"Pousttchi, Key",2014,30
"Thüm, Thomas",2014,333
"Korn, Ralf",2014,3
"Voigt, Sebastian",2014,5
"Korth, Christian",2014,0
"Jarke, Matthias",2015,17
"Bonnin, Geoffray",2014,139
"Ziaie, Pujan",2014,6
"Zenetti, German",2014,24
"Fridgen, Gilbert",2014,6
"Hu, Yong",2014,7
"Gettinger, Johannes",2014,6
